year,population,industrial_value,manufacturing_value,Service_value,household_consumption_expenditure,GDP,GDP_per_capita,growth_rate,government expenditure,foreign_dircet_investments,GDP_deflator,GDPr,Inflation,GNI,Rural population,National_gross_debt,Internet_use,people purchasing power
2001,48662400,"24,7933366062147",5868468569,16238815361,21480054355,"37972301334,6736","780,321178870619","9,20369481559182",709275702239348,-769000000,"10,8539509858643","349847731799,48","11,958808539",37305294094,32817,"36,7","1,238759547","0,9050775787657"
2002,48202470,"26,1560690117879",6716104081,19086860455,23994292795,"42351593887,2827","878,618748941345","5,24934061999014",741598768445162,-698000000,"11,4045278386956","371357714114,07","0,757420846",41745591034,32717,"33,6","1,873885116","0,9361803343862"
2003,47812949,"29,848220169205",8255855383,23853397810,28062144880,"50084197498,4529","1047,50279047739","9,51592306455673",906445140360418,-1411000000,"12,3290061514855","406230614885,52","5,179677819",49503198774,32573,"29,4","3,148127588","0,9936169396635"
2004,47451626,"32,7394520298754",10678699004,30570944238,34506486182,"64819702951,6826","1366,01647647823","12,1087694905521",108362474149276,-1711000000,"14,1963807414831","456593156608,39","9,048067861",64174681049,32403,"24,8","3,489477881","1,11411763065449"
2005,47105171,"32,1889303530888",15013952036,43239971881,49836283099,"86057915585,3026","1826,93139114817","2,99730011170958",149431186215778,-7533000000,"17,6308820778025","488108962475,85","13,569576491",85072910004,"32,21","17,7","3,749764415","1,34185579433224"
2006,46787786,"34,1379345069235",19191881188,51637440851,63780594059,107647920792079,"2300,76970925872","7,43991793435069",188970297029703,-5737000000,"20,2276824501445","532181188118,81","9,052524911",105925920792,32031,"14,8","4,506124564","1,49427396948778"
2007,46509355,"36,8878211775958",25157623762,69841694713,84427128713,142579603960396,"3065,61129390842","7,59352040825819",242849504950495,-9218000000,"24,900712133662","572592475247,53","12,838779619","141920603960,4",31853,"12,3","6,55","1,79136240341909"
2008,46258189,"34,5400492511984",27703523694,91228983559,111114064399,179816790704739,"3887,24233680525","2,30402491084496",305416540097205,-9903000000,"32,0169764537061","561629518529,77","25,226461707","178276784439,55",31675,"20,4",11,"2,25936040137564"
2009,46053331,"27,4165532705501",16130121162,63211990823,75000128350,117113410001027,"2542,99542417522","-14,7585621734729",2246021152069,-4654000000,"36,1851583800129","323650400451,79","15,881192459","114673397371,39",31498,"35,4","17,9","2,53417957621738"
2010,45870741,"28,7660449089103",17982257170,74922375120,86738116841,136013155905036,"2965,13971520617","3,83439250483319",26370280760119,-5759000000,"41,222939647422","329945309743,44","9,372931051","134004145924,69",31404,"40,6","23,3","2,85374067711833"
2011,45706086,"30,0903790895659",19412997640,86548647020,109006978262,163159671670265,"3569,75812083898","5,46550184584432",283281038204729,-7015000000,"47,0769365594053","346580902655,76","7,955724663","159363689379,49",31311,"36,9","28,70826284","3,19231104850769"
2012,45593342,"29,2836485672091",21763483919,94925165812,120034538856,175781379051433,"3855,41772856732","0,23868172076811",327827556000501,-7195000000,"50,7465474281334","346390814666,5","5,687279718","172816368164,19",31218,"37,5","35,27","3,2973940372467"
2013,45489648,"27,1213577215195",20649943701,102954960591,132285875141,183310146378081,"4029,71125162545","-0,02669789007189",340636807206306,-4079000000,"52,9474174908845","346211685224,57","-0,238948626","180277146378,08",31125,"40,5","40,954129","3,01255059242249"
2014,45272155,"23,2643590123014",16324968242,72304003634,95379625969,133503411375739,"2948,90780824856","-6,55263129365766",249194477861812,-299000000,"61,3670226814919","217549109508,95","12,071856287","131977083631,29",31032,"70,3","46,23597546","3,43497610092163"
2015,45154036,"19,7791684024042",10835214034,46579307567,61676928500,"91030959454,6961","2016,00936524691","-9,77296079067543",172268330533264,407000000,"85,2275269606183","106809340480,76","48,699864643","89919705924,09",30939,"79,5","48,88464368","4,56622552871704"
2016,45004673,"20,3352070655295",11407286518,46597942179,62173000982,"93355993628,5042","2074,36222519613","2,23506761905661",173661222716652,-3794000000,100,"93355993628,5","13,9127102","92422303366,17",30846,"81,2","53,0009696","5,01420640945435"
2017,44831135,"20,6966064506247",13530564057,57086018514,75254167826,112190355158178,"2502,50981060769","2,46603562470679",231842039959995,-3684000000,"122,08055753417","91898626140,18","14,438322749","114760382906,09",30754,"71,6","58,88947945","5,91628871226805"
2018,44622518,"21,259008037994",15127185162,67159831621,90798147093,"130901858421,72","2933,53813923544","3,40529551771813",271883605080789,-4460000000,"140,878519482123","92918252479,46","10,951855935","134253083583,02",30648,"60,3","62,55315539","6,66720051154161"
2019,44386203,"21,7534035737613",16646082892,83831728934,114453485313,153929501862341,"3467,95831719016","3,22148314495658",288940477295942,-5212000000,"152,496707443524","100939557609,37","7,886717456","158544355712,38",30527,"48,8","70,1248443","7,09046596838208"
2020,44134693,"21,0282119026963",15768042289,86566447185,115570249467,155582008717426,"3525,1634970572","-4,02031771396206",299626449040156,950000000,"167,498786337279","92885454348,39","2,732492094","157996179170,92",30392,"60,7",71,"7,69479444776784"
,,,,,,,,,,,,,,,,,,
Unit,,In constant Billion 2015 USD,In current USD,In current USD,In current USD,In current USD,In current USD,In %,In current USD,In current USD,In %,In current USD,In %,In current USD,In %,In % of GDP,In %,"PPP conversion factor, GDP (LCU per international $)"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data source: The World Bank, World development indicators, 2020. Data retrieved from World Development Indicators, http://data.worldbank.org/data-catalog/world-development-indicators",,,,,,,,,,,,,,,,,,
